time_s,torsion_a_v,torsion_b_v
-2.319999999999999840e-02,3.379999999999999893e+00,3.772000000000000242e+00
-2.314999999999999697e-02,3.419999999999999929e+00,3.736000000000000210e+00
-2.309999999999999901e-02,3.379999999999999893e+00,3.780000000000000249e+00
-2.304999999999999757e-02,3.439999999999999947e+00,3.724000000000000199e+00
-2.299999999999999961e-02,3.359999999999999876e+00,3.724000000000000199e+00
-2.294999999999999818e-02,3.479999999999999982e+00,3.812000000000000277e+00
-2.289999999999999675e-02,3.379999999999999893e+00,3.780000000000000249e+00
-2.284999999999999878e-02,3.419999999999999929e+00,3.744000000000000217e+00
-2.279999999999999735e-02,3.419999999999999929e+00,3.780000000000000249e+00
-2.274999999999999939e-02,3.260000000000000231e+00,3.720000000000000195e+00
-2.269999999999999796e-02,3.379999999999999893e+00,3.780000000000000249e+00
-2.264999999999999653e-02,3.419999999999999929e+00,3.736000000000000210e+00
-2.259999999999999856e-02,3.419999999999999929e+00,3.748000000000000220e+00
-2.255000000000000060e-02,3.379999999999999893e+00,3.780000000000000249e+00
-2.249999999999999917e-02,3.379999999999999893e+00,3.784000000000000252e+00
-2.244999999999999774e-02,3.419999999999999929e+00,3.744000000000000217e+00
-2.239999999999999977e-02,3.419999999999999929e+00,3.744000000000000217e+00
-2.234999999999999834e-02,3.379999999999999893e+00,3.788000000000000256e+00
-2.230000000000000038e-02,3.379999999999999893e+00,3.780000000000000249e+00
-2.224999999999999895e-02,3.419999999999999929e+00,3.744000000000000217e+00
-2.219999999999999751e-02,3.419999999999999929e+00,3.780000000000000249e+00
-2.214999999999999608e-02,3.379999999999999893e+00,3.744000000000000217e+00
-2.209999999999999812e-02,3.379999999999999893e+00,3.748000000000000220e+00
-2.205000000000000016e-02,3.439999999999999947e+00,3.792000000000000259e+00
-2.199999999999999872e-02,3.379999999999999893e+00,3.728000000000000203e+00
-2.194999999999999729e-02,3.479999999999999982e+00,3.812000000000000277e+00
-2.189999999999999933e-02,3.419999999999999929e+00,3.752000000000000224e+00
-2.184999999999999790e-02,3.379999999999999893e+00,3.788000000000000256e+00
-2.179999999999999993e-02,3.379999999999999893e+00,3.748000000000000220e+00
-2.174999999999999850e-02,3.640000000000000124e+00,3.804000000000000270e+00
-2.169999999999999707e-02,3.600000000000000089e+00,3.772000000000000242e+00
-2.164999999999999911e-02,3.660000000000000142e+00,3.824000000000000288e+00
-2.159999999999999767e-02,3.600000000000000089e+00,3.788000000000000256e+00
-2.154999999999999971e-02,3.660000000000000142e+00,3.832000000000000295e+00
-2.149999999999999828e-02,3.640000000000000124e+00,3.796000000000000263e+00
-2.144999999999999685e-02,3.680000000000000160e+00,3.843999999999999861e+00
-2.139999999999999888e-02,3.680000000000000160e+00,3.804000000000000270e+00
-2.135000000000000092e-02,3.640000000000000124e+00,3.839999999999999858e+00
-2.129999999999999949e-02,3.640000000000000124e+00,3.808000000000000274e+00
-2.124999999999999806e-02,3.680000000000000160e+00,3.847999999999999865e+00
-2.119999999999999662e-02,3.640000000000000124e+00,3.851999999999999869e+00
-2.114999999999999866e-02,3.680000000000000160e+00,3.812000000000000277e+00
-2.110000000000000070e-02,3.640000000000000124e+00,3.855999999999999872e+00
-2.104999999999999927e-02,3.680000000000000160e+00,3.804000000000000270e+00
-2.099999999999999784e-02,3.700000000000000178e+00,3.863999999999999879e+00
-2.094999999999999640e-02,3.600000000000000089e+00,3.804000000000000270e+00
-2.089999999999999844e-02,3.640000000000000124e+00,3.812000000000000277e+00
-2.085000000000000048e-02,3.680000000000000160e+00,3.859999999999999876e+00
