trial,block,pair_id,stratum,ratio,f1,f2,phase_offset,timebase_s,vpp_ch1,vrms_ch1,vpp_ch2,vrms_ch2,vpp_ch3,vrms_ch3,rsp_db,crest_factor,spectral_flatness,envelope_regularity,xcorr_peak,phase_coherence,wf_points,sample_rate,timestamp
50,1,CC9,CC,27:16,6495.2,3849.0,45.0,0.0001,0.592,0.3969004,0.328,0.3588285,0.4,0.3659704,-23.0419,1.488,0.002314,0.2715,0.8929,0.8389,1200,1000000.0,2026-09-18T18:02:37.133747
51,1,CC9,CC,27:16,6495.2,3849.0,90.0,0.0001,0.584,0.396832,0.152,0.3504273,0.32,0.3641935,-33.8124,1.3852,0.002776,0.2701,0.9151,0.8653,1200,1000000.0,2026-09-18T18:02:45.344250
52,1,CC9,CC,27:16,6495.2,3849.0,135.0,0.0001,0.64,0.3980228,0.648,0.4076457,0.592,0.3839086,-34.5325,1.6687,0.001711,0.3267,0.8354,0.7468,1200,1000000.0,2026-09-18T18:02:53.922562
53,1,CC9,CC,27:16,6495.2,3849.0,180.0,0.0001,0.584,0.397009,0.152,0.350448,0.32,0.3644232,-34.4886,1.3844,0.00253,0.2663,0.9156,0.8675,1200,1000000.0,2026-09-18T18:03:01.632730
54,1,CC9,CC,27:16,6495.2,3849.0,225.0,0.0001,0.584,0.3914379,0.2,0.3510595,0.336,0.3602272,-28.8522,1.4211,0.007809,0.2817,0.9004,0.8479,1200,1000000.0,2026-09-18T18:03:10.050335
55,1,CC9,CC,27:16,6495.2,3849.0,270.0,0.0001,0.648,0.3956209,0.68,0.3888143,0.608,0.3746139,-26.8144,1.7299,0.006794,0.3385,0.838,0.7646,1200,1000000.0,2026-09-18T18:03:17.940103
56,1,CC9,CC,27:16,6495.2,3849.0,315.0,0.0001,0.64,0.3883504,0.672,0.3910622,0.608,0.3700888,-33.0433,1.7499,0.002259,0.3457,0.8168,0.7202,1200,1000000.0,2026-09-18T18:03:26.175607
57,1,CC6,CC,49:25,7000.0,3571.4,0.0,0.0001,0.64,0.3969209,0.656,0.4110402,0.576,0.3860503,-30.8902,1.6358,0.003275,0.3226,0.8425,0.7562,1200,1000000.0,2026-09-18T18:03:34.506351
58,1,CC6,CC,49:25,7000.0,3571.4,45.0,0.0001,0.576,0.3912224,0.152,0.3490206,0.32,0.3605971,-28.6442,1.3976,0.009037,0.2698,0.912,0.8619,1200,1000000.0,2026-09-18T18:03:43.032928
59,1,CC6,CC,49:25,7000.0,3571.4,90.0,0.0001,0.584,0.3861768,0.152,0.3490417,0.32,0.3578046,-29.5563,1.4089,0.00752,0.272,0.9089,0.8572,1200,1000000.0,2026-09-18T18:03:51.442688
60,1,CC6,CC,49:25,7000.0,3571.4,135.0,0.0001,0.632,0.398078,0.632,0.4109997,0.576,0.3867292,-30.3423,1.6535,0.003585,0.3352,0.8432,0.7427,1200,1000000.0,2026-09-18T18:04:00.105860
61,1,CC6,CC,49:25,7000.0,3571.4,180.0,0.0001,0.584,0.3984481,0.2,0.3528368,0.336,0.3651193,-29.5069,1.4018,0.007154,0.2729,0.9063,0.855,1200,1000000.0,2026-09-18T18:04:08.731402
62,1,CC6,CC,49:25,7000.0,3571.4,225.0,0.0001,0.568,0.3753875,0.16,0.2819545,0.32,0.3204306,-31.8117,1.4489,0.004199,0.3033,0.9061,0.8524,1200,1000000.0,2026-09-18T18:04:16.728974
63,1,CC6,CC,49:25,7000.0,3571.4,270.0,0.0001,0.608,0.3953799,0.624,0.4083435,0.52,0.3836667,-26.5457,1.6874,0.008168,0.3835,0.8415,0.6995,1200,1000000.0,2026-09-18T18:04:24.743648
64,1,CC6,CC,49:25,7000.0,3571.4,315.0,0.0001,0.648,0.3982279,0.6720001,0.3875338,0.608,0.3752095,-33.9169,1.7267,0.001806,0.341,0.8366,0.7415,1200,1000000.0,2026-09-18T18:04:33.019905
65,1,CC5,CC,25:9,8333.3,3000.0,0.0,0.0001,0.576,0.3911789,0.152,0.3492785,0.32,0.3607512,-34.7326,1.3987,0.000988,0.2667,0.9125,0.8609,1200,1000000.0,2026-09-18T18:04:41.268659
66,1,CC5,CC,25:9,8333.3,3000.0,45.0,0.0001,0.648,0.3916469,0.664,0.3945317,0.608,0.3754334,-29.4688,1.7247,0.004217,0.3407,0.8415,0.7474,1200,1000000.0,2026-09-18T18:04:49.492006
67,1,CC5,CC,25:9,8333.3,3000.0,90.0,0.0001,0.576,0.3907508,0.152,0.3487418,0.32,0.3601479,-34.7196,1.3996,0.001303,0.2656,0.9121,0.8601,1200,1000000.0,2026-09-18T18:04:57.667226
68,1,CC5,CC,25:9,8333.3,3000.0,135.0,0.0001,0.64,0.3916177,0.632,0.3925054,0.584,0.3742671,-27.7374,1.7082,0.001968,0.3004,0.8383,0.7422,1200,1000000.0,2026-09-18T18:05:05.975046
69,1,CC5,CC,25:9,8333.3,3000.0,180.0,0.0001,0.568,0.5428449,nan,nan,nan,nan,-36.1347,1.0719,0.002036,0.0711,0.9411,0.9299,1200,1000000.0,2026-09-18T18:05:14.021858
70,1,CC5,CC,25:9,8333.3,3000.0,225.0,0.0001,0.576,0.39117,0.176,0.349926,0.32,0.3605936,-33.6105,1.3993,0.001762,0.2636,0.9096,0.8589,1200,1000000.0,2026-09-18T18:05:22.930982
71,1,CC5,CC,25:9,8333.3,3000.0,270.0,0.0001,0.624,0.390582,0.568,0.3814265,0.528,0.3692362,-15.7964,1.646,0.001164,0.2897,0.8491,0.7778,1200,1000000.0,2026-09-18T18:05:30.994007
72,1,CC5,CC,25:9,8333.3,3000.0,315.0,0.0001,0.616,0.3907694,0.56,0.3797579,0.528,0.3682154,-15.8016,1.6488,0.001195,0.2766,0.847,0.7753,1200,1000000.0,2026-09-18T18:05:39.401436
73,1,CC7,CC,36:25,6000.0,4166.7,0.0,0.0002,0.584,0.3544689,0.152,0.05594646,0.32,0.2015354,-24.9789,1.6267,0.006669,0.3707,0.8332,0.6882,1200,500000.0,2026-09-18T18:05:47.457298
74,1,CC7,CC,36:25,6000.0,4166.7,45.0,0.0002,0.648,0.3878617,0.6720001,0.3937416,0.608,0.3706364,-32.5787,1.7474,0.00169,0.3046,0.8144,0.7168,1200,500000.0,2026-09-18T18:05:55.868007
75,1,CC7,CC,36:25,6000.0,4166.7,90.0,0.0002,0.648,0.3915703,0.68,0.3971505,0.608,0.3765785,-29.6054,1.7209,0.004135,0.312,0.8399,0.75,1200,500000.0,2026-09-18T18:06:04.360892
76,1,CC7,CC,36:25,6000.0,4166.7,135.0,0.0002,0.592,0.3928103,0.152,0.3498443,0.32,0.3616726,-29.6566,1.3932,0.007872,0.2596,0.9132,0.859,1200,500000.0,2026-09-18T18:06:12.701396
77,1,CC7,CC,36:25,6000.0,4166.7,180.0,0.0002,0.648,0.3926336,0.672,0.3976781,0.608,0.3775902,-29.477,1.7168,0.004359,0.3234,0.842,0.7448,1200,500000.0,2026-09-18T18:06:20.667349
78,1,CC7,CC,36:25,6000.0,4166.7,225.0,0.0002,0.936,0.5612431,nan,nan,nan,nan,-10.7929,1.2531,0.0142,0.1508,0.9333,0.8977,1200,500000.0,2026-09-18T18:06:29.292196
79,1,CC7,CC,36:25,6000.0,4166.7,270.0,0.0002,0.584,0.3569409,0.16,0.05849072,0.32,0.2040824,-27.1608,1.6065,0.002941,0.3692,0.8515,0.7253,1200,500000.0,2026-09-18T18:06:37.483532
80,1,CC7,CC,36:25,6000.0,4166.7,315.0,0.0002,0.64,0.3964933,0.64,0.3919718,0.592,0.3759706,-14.5078,1.7008,0.001985,0.2809,0.8384,0.7498,1200,500000.0,2026-09-18T18:06:45.996327
81,1,PP5,PP,13:11,5435.6,4599.3,0.0,0.0005,0.592,0.3941261,0.152,0.3497173,0.32,0.3617054,-27.469,1.3935,0.007034,0.1885,0.9143,0.8567,1200,199999.99999999997,2026-09-18T18:06:54.452038
82,1,PP5,PP,13:11,5435.6,4599.3,45.0,0.0005,0.592,0.3917605,0.152,0.3496401,0.32,0.3604048,-27.6048,1.3981,0.005513,0.1984,0.9138,0.8557,1200,199999.99999999997,2026-09-18T18:07:02.614273
83,1,PP5,PP,13:11,5435.6,4599.3,90.0,0.0005,0.592,0.3953784,0.248,0.3569481,0.352,0.3647491,-23.7056,1.4259,0.013374,0.2635,0.902,0.8497,1200,199999.99999999997,2026-09-18T18:07:10.913437
84,1,PP5,PP,13:11,5435.6,4599.3,135.0,0.0005,0.592,0.3940445,0.16,0.3492298,0.32,0.361551,-27.2483,1.3939,0.007073,0.1936,0.9144,0.8558,1200,199999.99999999997,2026-09-18T18:07:19.126374
85,1,PP5,PP,13:11,5435.6,4599.3,180.0,0.0005,0.592,0.3935725,0.208,0.3521271,0.336,0.3615506,-25.9049,1.416,0.011045,0.2542,0.9112,0.8593,1200,199999.99999999997,2026-09-18T18:07:27.329299
86,1,PP5,PP,13:11,5435.6,4599.3,225.0,0.0005,0.584,0.3952516,0.16,0.3492874,0.32,0.3620881,-27.5015,1.3922,0.005846,0.192,0.9156,0.8583,1200,199999.99999999997,2026-09-18T18:07:35.970498
87,1,PP5,PP,13:11,5435.6,4599.3,270.0,0.0005,0.672,0.3924217,0.688,0.3998279,0.608,0.3767424,-28.8625,1.7205,0.001738,0.2431,0.8288,0.7246,1200,199999.99999999997,2026-09-18T18:07:44.588707
88,1,PP5,PP,13:11,5435.6,4599.3,315.0,0.0005,0.584,0.3929082,0.152,0.3494461,0.32,0.3610055,-27.2329,1.3958,0.00731,0.191,0.9144,0.8558,1200,199999.99999999997,2026-09-18T18:07:52.786708
89,1,IR1,IR,√2:1,5946.0,4204.5,0.0,0.0002,0.64,0.3932298,0.632,0.3922724,0.592,0.3743743,-14.4671,1.7084,0.00521,0.2808,0.8373,0.747,1200,500000.0,2026-09-18T18:08:00.977901
90,1,IR1,IR,√2:1,5946.0,4204.5,45.0,0.0002,0.64,0.390213,0.632,0.3906795,0.592,0.3716574,-14.3764,1.7228,0.006898,0.2683,0.8344,0.7515,1200,500000.0,2026-09-18T18:08:09.323683
91,1,IR1,IR,√2:1,5946.0,4204.5,90.0,0.0002,0.584,0.3911954,0.152,0.3496062,0.32,0.3604101,-30.8193,1.3988,0.005725,0.2583,0.912,0.8576,1200,500000.0,2026-09-18T18:08:17.741635
92,1,IR1,IR,√2:1,5946.0,4204.5,135.0,0.0002,0.6,0.395296,0.448,0.3704601,0.48,0.3672039,-18.4905,1.5883,0.004885,0.2623,0.8651,0.8007,1200,500000.0,2026-09-18T18:08:25.623478
93,1,IR1,IR,√2:1,5946.0,4204.5,180.0,0.0002,0.584,0.389419,0.152,0.3484841,0.32,0.358906,-32.3299,1.4054,0.003282,0.2622,0.9095,0.854,1200,500000.0,2026-09-18T18:08:33.768686
94,1,IR1,IR,√2:1,5946.0,4204.5,225.0,0.0002,0.648,0.3922956,0.672,0.3969135,0.608,0.3752316,-31.7892,1.7261,0.002593,0.308,0.8278,0.7345,1200,500000.0,2026-09-18T18:08:42.065692
95,1,IR1,IR,√2:1,5946.0,4204.5,270.0,0.0002,1.002,0.5837039,nan,nan,nan,nan,-20.7992,1.3709,0.003241,0.5353,0.9283,0.8738,1200,500000.0,2026-09-18T18:08:50.626538
